PINCODE,BR_CITY,STATE,REGION,OFFICE_CODE,OFFICE_NAME,END_MILE_TAT,STANDARD
121014,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
121015,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
121107,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
122098,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
122108,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
122502,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
122508,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123024,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123027,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123028,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123031,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123034,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123035,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123103,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123301,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123302,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123303,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123304,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
123412,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124022,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124102,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124104,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124105,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124107,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124109,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124111,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124141,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124142,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124146,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124202,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124303,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124401,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124404,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124406,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124411,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124412,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124504,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124505,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124506,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124508,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124513,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
124515,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125007,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125037,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125038,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125042,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125044,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125048,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125049,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125054,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125056,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125058,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125060,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125061,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125077,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125078,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125101,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125103,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125110,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
126110,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
